,lat,lon,timestamp,amenity,name,tags
87,49.1556713,-123.1248972,2017-08-19T05:05:34.000-07:00,bar,Legends Pub,{}
108,49.268662,-123.1045109,2019-03-22T02:52:21.000-07:00,bar,Faculty Brewing,"{'addr:housenumber': '1830', 'website': 'https://www.facultybrewing.com/', 'shop': 'alcohol', 'phone': '+1-778-819-6794', 'opening_hours': 'Mo-Fr 14:00-23:00; Sa-Su 11:00-23:00', 'outdoor_seating': 'no', 'addr:street': 'Ontario Street', 'addr:postcode': 'V5T 2W6', 'email': 'hola@facultybrewing.com', 'addr:city': 'Vancouver'}"
310,49.2821955,-123.1024011,2019-09-13T13:57:04.000-07:00,bar,Back and Forth Bar,"{'note': 'They have ping pong. Not sure about how to tag that', 'addr:housenumber': '303', 'addr:street': 'Columbia Street', 'addr:city': 'Vancouver'}"
313,49.284169,-123.1073434,2019-09-13T13:57:04.000-07:00,bar,131 Water Kitchen & Bar,"{'addr:housenumber': '131', 'addr:street': 'Water Street', 'addr:city': 'Vancouver'}"
440,49.2821452,-123.0762115,2019-09-02T22:08:26.000-07:00,bar,Callister Tasting Room,"{'addr:housenumber': '1338', 'website': 'http://www.callisterbrewing.com/', 'shop': 'alcohol', 'phone': '+1-604-569-2739', 'opening_hours': 'Mo-Th 14:00-21:00; Fr 14:00-22:00,09:00-18:00; Sa 13:00-22:00; Su 13:00-20:00', 'outdoor_seating': 'no', 'addr:street': 'Franklin Street', 'addr:postcode': 'V5L 1N9', 'email': 'info@callisterbrewing.com', 'addr:city': 'Vancouver'}"
444,49.2833626,-123.0757512,2019-03-22T02:56:22.000-07:00,bar,Powell Brewery Tasting Room,"{'opening_hours': 'Mo-Th 14:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00', 'website': 'https://www.powellbeer.com/', 'shop': 'alcohol', 'email': 'tim@powellbeer.com'}"
448,49.2724958,-123.0777288,2018-10-26T20:30:44.000-07:00,bar,Strange Fellows Tasting Room,"{'opening_hours': 'Mo-Su 12:00-23:00', 'website': 'https://strangefellowsbrewing.com/', 'shop': 'alcohol', 'outdoor_seating': 'no', 'phone': '+1-604-215-0092'}"
838,49.1622956,-122.6548929,2019-09-23T20:13:22.000-07:00,bar,Walnut Grove Pub & Liqour Store,{'name:en': 'Walnut Grove Pub & Liqour Store'}
1672,49.227124,-123.0003251,2018-04-21T18:56:30.000-07:00,bar,Cupcakes,"{'level': '0', 'name:en': 'Cupcakes'}"
1673,49.2272799,-123.0001798,2018-04-21T18:56:31.000-07:00,bar,Orange Julius,"{'level': '0', 'name:en': 'Orange Julius'}"
