,lat,lon,timestamp,amenity,name,tags
312,49.2836044,-123.1036863,2019-09-13T13:57:04.000-07:00,ice_cream,Soft Peaks Ice Cream,"{'addr:housenumber': '25', 'addr:street': 'Alexander Street', 'addr:city': 'Vancouver'}"
1562,49.2769275,-123.0815616,2020-02-08T20:49:12.000-08:00,ice_cream,La Casa Gelato,"{'addr:housenumber': '1033', 'payment:credit_cards': 'no', 'shop': 'ice_cream', 'phone': '1+6042513211', 'opening_hours': 'Mo-Su 11:00-23:00', 'payment:cash': 'yes', 'addr:street': 'Venables Street', 'payment:debit_cards': 'yes', 'addr:postcode': 'V6A 3R9', 'url': 'http://www.lacasagelato.com', 'addr:city': 'Vancouver'}"
2200,49.2481556,-123.1008994,2019-09-13T13:56:59.000-07:00,ice_cream,Yum Sweet Shop,"{'opening_hours': 'Mo-Su 12:00-22:00', 'addr:housenumber': '4150', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}"
4368,49.3122343,-123.0799609,2018-08-06T17:54:38.000-07:00,ice_cream,Earnest Ice Cream,"{'opening_hours': 'Mo-Su 12:00-22:00', 'addr:housenumber': '127', 'website': 'https://earnesticecream.com/', 'addr:street': 'West 1st Street', 'phone': '+1-604-770-4136'}"
4369,49.2795862,-123.0749371,2018-08-06T18:05:21.000-07:00,ice_cream,Earnest Ice Cream,"{'opening_hours': 'Mo-Su 12:00-22:00', 'addr:housenumber': '1485', 'website': 'https://earnesticecream.com/', 'addr:street': 'Frances Street', 'phone': '+1-604-428-2933'}"
4504,49.240749,-123.1016806,2019-09-13T13:57:02.000-07:00,ice_cream,Innocent Ice Cream,"{'opening_hours': 'Mo-Fr 12:00-22:00; Sa 12:00-23:00; Su 12:00-22:00', 'addr:housenumber': '4895', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}"
4860,49.1696893,-122.5787014,2016-11-03T17:52:12.000-07:00,ice_cream,Ritual,{'addr:street': 'Glover Road'}
4998,49.0427677,-122.7797381,2019-09-13T13:57:05.000-07:00,ice_cream,Marble Slab Creamery,"{'brand:wikidata': 'Q17020087', 'addr:housenumber': '2245', 'brand:wikipedia': 'en:Marble Slab Creamery', 'cuisine': 'ice_cream', 'addr:street': '160 Street', 'brand': 'Marble Slab Creamery', 'addr:city': 'Surrey'}"
5426,49.264266,-123.1718556,2019-10-29T03:23:55.000-07:00,ice_cream,I.ce Queen,"{'addr:housenumber': '2967', 'addr:street': 'West Broadway', 'addr:city': 'Vancouver'}"
5549,49.1326321,-123.0931064,2019-08-24T15:12:34.000-07:00,ice_cream,Marble Slab Creamery,"{'brand:wikidata': 'Q17020087', 'cuisine': 'ice_cream', 'brand': 'Marble Slab Creamery', 'brand:wikipedia': 'en:Marble Slab Creamery'}"
5673,49.3128161,-123.1427548,2017-12-03T01:57:54.000-08:00,ice_cream,,{}
5703,49.2736081,-123.1185044,2019-09-13T13:56:58.000-07:00,ice_cream,Bella Gelateria,"{'addr:housenumber': '1089', 'website': 'https://bellagelateria.com/yaletown', 'shop': 'ice_cream', 'phone': '+1-778-737-7890', 'opening_hours': '09:00-23:00', 'outdoor_seating': 'yes', 'addr:street': 'Marinaside Crescent', 'addr:postcode': 'V6Z 2Z4', 'addr:city': 'Vancouver'}"
5755,49.2551419,-123.1148934,2015-04-13T22:16:13.000-07:00,ice_cream,Rain or Shine Ice Cream,"{'addr:housenumber': '3382', 'website': 'http://rainorshineicecream.com/', 'shop': 'yes', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}"
5923,49.2699059,-123.1030986,2019-06-22T03:57:01.000-07:00,ice_cream,Mario's Gelato,{'cuisine': 'Gelato'}
6668,49.2579705,-123.1679754,2019-09-13T13:57:03.000-07:00,ice_cream,La Glace,"{'addr:housenumber': '2785', 'addr:street': 'West 16th Avenue', 'addr:city': 'Vancouver'}"
7213,49.263404,-123.1162261,2019-08-21T21:33:31.000-07:00,ice_cream,Marble Slab Creamery,"{'brand:wikidata': 'Q17020087', 'addr:housenumber': '541', 'brand:wikipedia': 'en:Marble Slab Creamery', 'cuisine': 'ice_cream', 'designation': 'Ice Cream', 'addr:street': 'West Broadway', 'addr:postcode': 'V5Z 1E6', 'brand': 'Marble Slab Creamery'}"
7281,49.1839823,-123.1358666,2019-09-02T22:08:26.000-07:00,ice_cream,Ice Queen,"{'addr:housenumber': '4000', 'website': 'https://m.facebook.com/icqueenqueen/', 'phone': '+1-604-377-2718', 'opening_hours': 'Mo-We 12:00-19:00; Th,Fr 12:00-21:00; Sa 11:00-21:00; Su 11:00-19:00', 'description': 'Best Ice Cream this side of the Rockies', 'addr:street': 'No 3'}"
7284,49.1721554,-123.1335514,2019-09-02T22:08:26.000-07:00,ice_cream,Sulmida Dessert Cafe,"{'addr:housenumber': '140 - 8211', 'website': 'https://www.sulmidarichmond.com/', 'phone': '+1-604-285-2718', 'opening_hours': 'Mo-Th 15:00-23:00; Fr,Sa 13:00-00:00; Su 13:00-23:00', 'description': 'Koreean bingsu desserts', 'addr:street': 'Ackroyd Road'}"
7698,49.2679235,-123.1486541,2016-02-07T23:52:49.000-08:00,ice_cream,Rain or Shine,{}
7853,49.2626043,-123.0823703,2019-09-13T13:57:05.000-07:00,ice_cream,Rooster's Ice Cream Bar,"{'addr:housenumber': '1039', 'addr:street': 'East Broadway', 'addr:city': 'Vancouver'}"
8101,49.3151604,-123.0669093,2019-09-13T13:57:05.000-07:00,ice_cream,Welcome Parlour Ice Cream,"{'addr:housenumber': '277', 'addr:street': 'East 8th Street', 'addr:city': 'North Vancouver City'}"
