,lat,lon,timestamp,amenity,name,tags
0,49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
33,49.1935797,-123.1807883,2019-09-14T05:00:22.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'indoor': 'yes', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
52,49.2284004,-122.8483834,2019-11-20T11:48:37.000-08:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1450', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'United Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
54,49.212449,-122.9197493,2019-07-02T01:10:30.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'gps/photo survey', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}"
55,49.212659,-122.9193469,2019-07-02T01:10:30.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
83,49.2635825,-123.1288364,2019-05-04T04:55:51.000-07:00,cafe,Waves,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'}
96,49.0919518,-122.9576502,2019-08-02T01:26:08.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}"
115,49.2685718,-123.1045263,2018-10-26T20:30:44.000-07:00,cafe,Argo Cafe,"{'addr:housenumber': '1836', 'addr:street': 'Ontario Street', 'phone': '+1-604-876-3620'}"
254,49.278119,-122.9122848,2020-01-18T09:04:52.000-08:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
303,49.2821554,-123.0998393,2019-09-13T13:57:03.000-07:00,cafe,Waves Coffee,"{'addr:housenumber': '305', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}"
306,49.2831728,-123.0935162,2019-09-13T13:57:03.000-07:00,cafe,The Uncommon Cafe,"{'addr:housenumber': '477', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
315,49.2731066,-123.1007271,2020-02-05T20:20:15.000-08:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '195', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Terminal Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'addr:city': 'Vancouver'}"
328,49.2769081,-122.8589634,2020-02-12T23:53:44.000-08:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'wheelchair': 'yes', 'addr:housenumber': '2350', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Saint Johns Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
340,49.2866006,-123.1282087,2019-08-23T07:46:30.000-07:00,cafe,Chatime,"{'brand:wikidata': 'Q16829306', 'brand:en': 'Chatime', 'addr:housenumber': '1274', 'brand:wikipedia': 'en:Chatime', 'cuisine': 'bubble_tea', 'name:en': 'Chatime', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand:zh': '日出茶太', 'brand': 'Chatime', 'name:zh': '日出茶太'}"
342,49.2864194,-123.1272344,2019-03-02T23:17:21.000-08:00,cafe,Abode,"{'addr:housenumber': '1223', 'addr:street': 'Robson Street'}"
407,49.2660115,-123.2423353,2010-03-11T09:34:42.000-08:00,cafe,Only U Cafe,{}
460,49.2814778,-123.1336029,2016-08-15T01:05:41.000-07:00,cafe,Exile,"{'addr:housenumber': '1220', 'addr:street': 'Bute Street'}"
517,49.0408954,-122.2698339,2016-08-16T16:50:10.000-07:00,cafe,Starbucks,{'cuisine': 'coffee_shop'}
617,49.2873431,-123.1143935,2019-08-29T17:32:53.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
636,49.2387806,-123.0316319,2019-07-07T03:58:25.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'wheelchair': 'yes', 'website': 'https://www.timhortons.com/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '5055', 'phone': '+1-604-433-3354', 'smoking': 'no', 'opening_hours': '24/7', 'addr:street': 'Joyce Street', 'brand': 'Tim Hortons'}"
637,49.2641324,-123.1816701,2019-12-13T06:56:27.000-08:00,cafe,Essentia Cafe,"{'opening_hours': 'Mo-Fr 08:00-18:00; Sa-Su 09:00-18:00', 'addr:housenumber': '3498', 'addr:street': 'W Broadway'}"
650,49.2686141,-123.158778,2019-08-29T18:37:06.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
659,49.285902899999996,-123.1249177,2019-08-28T07:25:01.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1150', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Alberni Street', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
663,49.2876133,-123.1149238,2019-11-25T23:07:41.000-08:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Vancouver'}"
704,49.2630977,-123.1172998,2018-12-16T10:09:32.000-08:00,cafe,Elysian Coffee Roasters,"{'opening_hours': 'Mo-Su 07:00-19:00', 'cuisine': 'coffee_shop', 'addr:housenumber': '590', 'addr:street': 'West Broadway', 'source': 'http://www.elysiancoffee.com/'}"
705,49.212995,-123.1401,2019-05-29T17:48:57.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'wheelchair': 'limited', 'addr:housenumber': '8002', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Granville Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
707,49.3721579,-123.0988075,2019-06-09T12:39:41.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'addr:housenumber': '6400', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Nancy Greene Way', 'takeaway': 'yes', 'brand': 'Starbucks'}"
709,49.1797273,-123.137991,2018-06-20T15:12:27.000-07:00,cafe,Paul's Kitchen,"{'phone': '+1-604-273-0373', 'level': '0', 'opening_hours': '11:00-20:00', 'cuisine': 'chinese', 'addr:unit': '135', 'name:zh': '保羅美食'}"
738,49.1048167,-122.8022148,2019-09-23T20:08:40.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '15161', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Highway 10', 'takeaway': 'yes', 'brand': 'Starbucks'}"
741,49.1767616,-122.689973,2017-02-16T08:54:01.000-08:00,cafe,Tim Hortons,"{'opening_hours': '24/7', 'addr:housenumber': '19218', 'addr:street': '96 Avenue', 'internet_access': 'wlan'}"
750,49.2492264,-123.1007752,2019-11-20T08:20:04.000-08:00,cafe,Caffe Artigiano,"{'opening_hours': 'Mo-Fr 06:00-18:30; Sa,Su 06:30-18:30', 'addr:housenumber': '4010', 'name:en': 'Caffe Artigiano', 'addr:street': 'Main Street'}"
757,49.2796195,-123.0999337,2020-06-11T20:27:15.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
761,49.2327522,-123.1172852,2016-10-24T07:19:47.000-07:00,cafe,Blenz,{'name:en': 'Blenz'}
768,49.2792232,-123.1168269,2020-03-08T23:06:19.000-07:00,cafe,Gong Cha,"{'addr:province': 'BC', 'addr:housenumber': '386', 'payment:credit_cards': 'yes', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'cuisine': 'bubble_tea', 'name:en': 'Gong Cha', 'addr:street': 'Robson Street', 'payment:debit_cards': 'yes', 'addr:city': 'Vancouver'}"
787,49.0497717,-122.3189143,2019-09-02T22:08:26.000-07:00,cafe,Sticky Buns & More,"{'opening_hours': 'PH,Su 11:00-17:00; Mo-We,Sa 09:30-17:30; Th,Fr 09:30-21:00', 'addr:unit': '24A'}"
802,49.197754,-123.1407889,2020-01-13T06:13:45.000-08:00,cafe,Caffè Artigiano,"{'website': 'https://www.caffeartigiano.com', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'opening_hours': 'Mo-Sa 09:00-21:00; Su,PH 09:00-19:00', 'outdoor_seating': 'yes', 'addr:unit': '82'}"
1000,49.2543347,-122.737988,2019-09-10T18:06:48.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1002,49.257451,-122.7437942,2019-09-10T18:06:48.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'name:en': 'Tim Hortons', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
1283,49.2290279,-122.9989508,2020-04-03T19:50:34.000-07:00,cafe,Mr. Mustache Tea & Dessert,"{'website': 'http://wee.cafejoie.com', 'internet_access': 'yes', 'internet_access:fee': 'yes', 'cuisine': 'tea;dessert;espresso', 'addr:unit': '110', 'addr:city': 'Burnaby', 'addr:housenumber': '6125', 'internet_access:ssid': 'Mustache-guest', 'opening_hours': 'Su-Fr 09:00-23:00; Sa 10:00-23:00', 'name:en': 'Mr. Mustache Tea & Dessert', 'outdoor_seating': 'yes', 'addr:street': 'Sussex Avenue'}"
1426,49.2808856,-123.011264,2018-02-14T21:45:51.000-08:00,cafe,Waves Coffee,"{'addr:housenumber': '4204', 'name:en': 'Waves Coffee', 'addr:street': 'Hastings Street'}"
1450,49.1328835,-122.846132,2019-08-24T00:12:34.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '7195', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'King George Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
1453,49.0513372,-122.691921,2017-02-16T08:51:53.000-08:00,cafe,Tim Hortons,"{'opening_hours': '24/7', 'addr:housenumber': '2711', 'addr:street': '192 Street', 'internet_access': 'wlan'}"
1475,49.125282,-123.1847472,2010-04-13T02:54:58.000-07:00,cafe,Steveston's Coffee Co.,{}
1540,49.2635191,-123.1231332,2019-08-29T18:18:41.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}"
1544,49.2632049,-123.1070497,2020-04-15T03:28:53.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Fr 06:00-19:00; Sa,Su 07:00-19:00', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1560,49.2673455,-123.112992,2019-09-13T13:56:49.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'addr:postcode': 'V5Y 3W3', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '2035', 'outdoor_seating': 'yes', 'addr:street': 'Yukon Street', 'brand': 'Starbucks'}"
1645,49.235221,-123.1157169,2019-09-13T13:56:59.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '5504', 'brand:wikipedia': 'en:Starbucks', 'name:fr': 'Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Cambie Street', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Vancouver'}"
1670,49.2273356,-122.9997733,2019-07-05T05:09:00.000-07:00,cafe,McCafé,"{'brand:wikidata': 'Q3114287', 'level': '0', 'brand:wikipedia': 'en:McCafé', 'cuisine': 'coffee_shop', 'name:en': ""McCafe'"", 'takeaway': 'yes', 'brand': 'McCafé'}"
1689,49.2260832,-123.001846,2017-09-03T06:59:18.000-07:00,cafe,Blenz Coffee,"{'level': '0', 'name:en': 'Blenz Coffee'}"
1711,49.2315873,-123.009736,2017-03-11T06:15:10.000-08:00,cafe,Waves,{'name:en': 'Waves'}
1718,49.2186088,-122.9564849,2019-07-02T01:21:58.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1728,49.2285933,-122.9995392,2017-07-31T17:54:56.000-07:00,cafe,Sulmida,{'name:en': 'Sulmida'}
1746,49.2256778,-122.9973902,2019-07-05T05:09:00.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'level': '1', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1762,49.2263089,-122.9999809,2019-02-03T01:58:57.000-08:00,cafe,Take Five Café,{'level': '1'}
1768,49.2254283,-122.9974687,2019-05-27T03:58:18.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'level': '1', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'name:en': 'Tim Hortons', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
1772,49.2284012,-123.0046672,2017-03-22T04:30:41.000-07:00,cafe,Sunshine,"{'addr:housenumber': '1003', 'name:en': 'Sunshine'}"
1774,49.2285595,-123.0045242,2017-03-22T04:30:45.000-07:00,cafe,Comebuy,"{'addr:housenumber': '1610', 'name:en': 'Comebuy'}"
1780,49.2505112,-122.8949216,2017-03-13T04:13:06.000-07:00,cafe,Grainery,{'name:en': 'Grainery'}
1795,49.2278206,-122.840058,2019-11-20T11:48:37.000-08:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1809,49.2510633,-122.8951452,2017-03-13T04:12:00.000-07:00,cafe,Anna's,"{'name:en': ""Anna's""}"
1820,49.2504908,-122.8944559,2019-09-27T12:21:02.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1840,49.2507164,-122.8956836,2017-03-13T04:15:59.000-07:00,cafe,Cinnzeo,{'name:en': 'Cinnzeo'}
1843,49.2808098,-123.1070156,2019-09-23T15:35:32.000-07:00,cafe,Caveman Cafe,"{'wheelchair': 'yes', 'website': 'http://www.cavemancafe.ca', 'diet:paleo': 'yes', 'diet:gluten_free': 'yes', 'level': '0', 'diet:dairy_free': 'yes', 'diet:vegan': 'yes', 'takeaway': 'yes', 'addr:unit': '1005', 'addr:city': 'Vancouver', 'diet:vegetarian': 'yes', 'addr:housenumber': '88', 'diet:halal': 'only', 'phone': '+1-604-331-0668', 'opening_hours': 'Mo-Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-18:00', 'outdoor_seating': 'no', 'addr:street': 'Pender Street', 'payment:debit_cards': 'yes', 'email': 'info@cavemancafe.ca'}"
1923,49.1953219,-123.1781022,2016-09-05T17:55:07.000-07:00,cafe,Galiano Bakery & Cafe,{}
1981,49.2865567,-123.1410036,2019-08-29T18:01:23.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1752', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': 'Mo-Su 05:00-23:00', 'cuisine': 'coffee_shop', 'addr:street': 'Davie Street', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
2108,49.1128069,-122.6724406,2020-01-17T08:20:56.000-08:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'website': 'https://www.starbucks.ca/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:housenumber': '19898', 'phone': '+1-604-217-7393', 'opening_hours': 'Mo-Fr 05:00-21:00; Su 06:30-21:00; Sa 06:00-21:00', 'name:en': 'Starbucks', 'addr:street': 'Langley Bypass', 'brand': 'Starbucks'}"
2173,49.2829831,-123.1098733,2009-05-07T02:01:01.000-07:00,cafe,New Amsterdam Cafe,{'created_by': 'Potlatch 0.10f'}
2179,49.2624382,-123.1007191,2020-01-20T20:26:25.000-08:00,cafe,Bean Around The World,"{'addr:housenumber': '2528', 'website': 'http://www.fuelledbycaffeine.com/', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'addr:street': 'Main Street'}"
2184,49.2624451,-123.1012839,2020-06-15T16:20:22.000-07:00,cafe,Kafka's Coffee and Tea,"{'cuisine': 'coffee_shop', 'addr:housenumber': '2525', 'website': 'http://kafkascoffee.ca/', 'addr:street': 'Main Street'}"
2186,49.2622376,-123.1012945,2020-06-15T16:20:22.000-07:00,cafe,Sunny Spot,"{'cuisine': 'burger', 'addr:housenumber': '2543', 'addr:street': 'Main Street'}"
